"","Name","Link"
"1","Jacketz Oud-West","http://www.tripadvisor.com/Restaurant_Review-g188590-d7003171-Reviews-Jacketz_Oud_West-Amsterdam_North_Holland_Province.html"
"2","Restaurant Johannes","http://www.tripadvisor.com/Restaurant_Review-g188590-d5971541-Reviews-Restaurant_Johannes-Amsterdam_North_Holland_Province.html"
"3","Omelegg","http://www.tripadvisor.com/Restaurant_Review-g188590-d4177229-Reviews-Omelegg-Amsterdam_North_Holland_Province.html"
"4","Vinkeles","http://www.tripadvisor.com/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html"
"5","Marits Huiskamerrestaurant","http://www.tripadvisor.com/Restaurant_Review-g188590-d4339608-Reviews-Marits_Huiskamerrestaurant-Amsterdam_North_Holland_Province.html"
"6","Bord'Eau","http://www.tripadvisor.com/Restaurant_Review-g188590-d2315768-Reviews-Bord_Eau-Amsterdam_North_Holland_Province.html"
"7","Daalder","http://www.tripadvisor.com/Restaurant_Review-g188590-d1408533-Reviews-Daalder-Amsterdam_North_Holland_Province.html"
"8","Zaza's","http://www.tripadvisor.com/Restaurant_Review-g188590-d1014732-Reviews-Zaza_s-Amsterdam_North_Holland_Province.html"
"9","Utrechtsedwarstafel","http://www.tripadvisor.com/Restaurant_Review-g188590-d1111389-Reviews-Utrechtsedwarstafel-Amsterdam_North_Holland_Province.html"
"10","Arendsnest Dutch Beer Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d7139546-Reviews-Arendsnest_Dutch_Beer_Bar-Amsterdam_North_Holland_Province.html"
"11","Guts & Glory","http://www.tripadvisor.com/Restaurant_Review-g188590-d7689983-Reviews-Guts_Glory-Amsterdam_North_Holland_Province.html"
"12","Restaurant Mandarijn","http://www.tripadvisor.com/Restaurant_Review-g188590-d6418254-Reviews-Restaurant_Mandarijn-Amsterdam_North_Holland_Province.html"
"13","The Silver Mirror","http://www.tripadvisor.com/Restaurant_Review-g188590-d693419-Reviews-The_Silver_Mirror-Amsterdam_North_Holland_Province.html"
"14","Greenwoods","http://www.tripadvisor.com/Restaurant_Review-g188590-d1309073-Reviews-Greenwoods-Amsterdam_North_Holland_Province.html"
"15","Lombardo's","http://www.tripadvisor.com/Restaurant_Review-g188590-d2265132-Reviews-Lombardo_s-Amsterdam_North_Holland_Province.html"
"16","Ivy & Bros","http://www.tripadvisor.com/Restaurant_Review-g188590-d7285568-Reviews-Ivy_Bros-Amsterdam_North_Holland_Province.html"
"17","MAX Amsterdam","http://www.tripadvisor.com/Restaurant_Review-g188590-d2292732-Reviews-MAX_Amsterdam-Amsterdam_North_Holland_Province.html"
"18","The Seafood Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d3323106-Reviews-The_Seafood_Bar-Amsterdam_North_Holland_Province.html"
"19","Senses Restaurant","http://www.tripadvisor.com/Restaurant_Review-g188590-d3589045-Reviews-Senses_Restaurant-Amsterdam_North_Holland_Province.html"
"20","Restaurant Adam","http://www.tripadvisor.com/Restaurant_Review-g188590-d7695005-Reviews-Restaurant_Adam-Amsterdam_North_Holland_Province.html"
"21","Vlaming eten & drinken","http://www.tripadvisor.com/Restaurant_Review-g188590-d2213743-Reviews-Vlaming_eten_drinken-Amsterdam_North_Holland_Province.html"
"22","Piqniq","http://www.tripadvisor.com/Restaurant_Review-g188590-d2338581-Reviews-Piqniq-Amsterdam_North_Holland_Province.html"
"23","Van Kerkwijk","http://www.tripadvisor.com/Restaurant_Review-g188590-d697045-Reviews-Van_Kerkwijk-Amsterdam_North_Holland_Province.html"
"24","Teppanyaki Restaurant Sazanka","http://www.tripadvisor.com/Restaurant_Review-g188590-d697009-Reviews-Teppanyaki_Restaurant_Sazanka-Amsterdam_North_Holland_Province.html"
"25","Biercafe Gollem","http://www.tripadvisor.com/Restaurant_Review-g188590-d3893242-Reviews-Biercafe_Gollem-Amsterdam_North_Holland_Province.html"
"26","Bussia","http://www.tripadvisor.com/Restaurant_Review-g188590-d1229275-Reviews-Bussia-Amsterdam_North_Holland_Province.html"
"27","De Goudvis Club","http://www.tripadvisor.com/Restaurant_Review-g188590-d3819689-Reviews-De_Goudvis_Club-Amsterdam_North_Holland_Province.html"
"28","Indian Sky","http://www.tripadvisor.com/Restaurant_Review-g188590-d7093159-Reviews-Indian_Sky-Amsterdam_North_Holland_Province.html"
"29","Ciel Bleu Restaurant","http://www.tripadvisor.com/Restaurant_Review-g188590-d696902-Reviews-Ciel_Bleu_Restaurant-Amsterdam_North_Holland_Province.html"
"30","Taj Mahal","http://www.tripadvisor.com/Restaurant_Review-g188590-d2690449-Reviews-Taj_Mahal-Amsterdam_North_Holland_Province.html"
"31","Norling Restaurant Amsterdam","http://www.tripadvisor.com/Restaurant_Review-g188590-d4134378-Reviews-Norling_Restaurant_Amsterdam-Amsterdam_North_Holland_Province.html"
"32","Broodje Bert","http://www.tripadvisor.com/Restaurant_Review-g188590-d1503783-Reviews-Broodje_Bert-Amsterdam_North_Holland_Province.html"
"33","Winkel 43","http://www.tripadvisor.com/Restaurant_Review-g188590-d1728791-Reviews-Winkel_43-Amsterdam_North_Holland_Province.html"
"34","Wink","http://www.tripadvisor.com/Restaurant_Review-g188590-d4420532-Reviews-Wink-Amsterdam_North_Holland_Province.html"
